0	-1.25	161.0
1	-1.25	125.0
2	-1.25	129.0
3	-1.25	220.0
4	-1.25	74.0
5	-1.25	172.0
6	-1.25	43.0
7	-1.25	41.0
8	-1.25	29.0
9	-1.25	33.0
10	-1.25	34.0
11	-1.25	15.0
12	-1.25	3.0
13	-1.25	11.0
14	-1.25	18.0
15	-1.25	15.0
16	-1.25	14.0
17	-1.25	20.0
18	-1.25	11.0
19	-1.25	15.0
20	-1.25	16.0
21	-1.25	15.0
22	-1.25	7.0
23	-1.25	24.0
24	-1.25	34.0
25	-1.25	36.0
26	-1.25	47.0
27	-1.25	17.0
28	-1.25	19.0
29	-1.25	12.0
30	-1.25	18.0
31	-1.25	5.0
32	-1.25	15.0
33	-1.25	14.0
34	-1.25	18.0
35	-1.25	14.0
36	-1.25	24.0
37	-1.25	34.0
38	-1.25	13.0
39	-1.25	16.0
40	-1.25	18.0
41	-1.25	28.0
42	-1.25	18.0
43	-1.25	20.0
44	-1.25	43.0
45	-1.25	16.0
46	-1.25	30.0
47	-1.25	38.0
48	-1.25	133.0
49	-1.25	31.0
50	-1.25	22.0
51	-1.25	19.0
52	-1.25	31.0
53	-1.25	37.0
54	-1.25	53.0
55	-1.25	19.0
56	-1.25	36.0
57	-1.25	17.0
58	-1.25	20.0
59	-1.25	16.0
60	-1.25	15.0
61	-1.25	24.0
62	-1.25	16.0
63	-1.25	15.0
64	-1.25	21.0
65	-1.25	44.0
66	-1.25	12.0
67	-1.25	25.0
68	-1.25	22.0
69	-1.25	31.0
70	-1.25	33.0
71	-1.25	20.0
72	-1.25	41.0
73	-1.25	26.0
74	-1.25	36.0
75	-1.25	23.0
76	-1.25	27.0
77	-1.25	14.0
78	-1.25	8.0
79	-1.25	20.0
80	-1.25	9.0
81	-1.25	14.0
82	-1.25	23.0
83	-1.25	32.0
84	-1.25	24.0
85	-1.25	13.0
86	-1.25	10.0
87	-1.25	7.0
88	-1.25	14.0
89	-1.25	14.0
90	-1.25	14.0
91	-1.25	14.0
92	-1.25	14.0
93	-1.25	14.0
94	-1.25	14.0
95	-1.25	14.0
96	-1.25	14.0
97	-1.25	14.0
98	-1.25	14.0
99	-1.25	14.0
