0	-3.25	1.0
1	-3.25	1.0
2	-3.25	1.0
3	-3.25	1.0
4	-3.25	1.0
5	-3.25	1.0
6	-3.25	1.0
7	-3.25	1.0
8	-3.25	1.0
9	-3.25	1.0
10	-3.25	5.0
11	-3.25	400.0
12	-3.25	420.0
13	-3.25	414.0
14	-3.25	404.0
15	-3.25	420.0
16	-3.25	439.0
17	-3.25	4185.0
18	-3.25	4576.0
19	-3.25	4332.0
20	-3.25	3913.0
21	-3.25	3906.0
22	-3.25	3914.0
23	-3.25	4198.0
24	-3.25	4441.0
25	-3.25	4621.0
26	-3.25	13104.0
27	-3.25	1429.0
28	-3.25	1404.0
29	-3.25	1331.0
30	-3.25	1330.0
31	-3.25	1272.0
32	-3.25	846.0
33	-3.25	446.0
34	-3.25	473.0
35	-3.25	460.0
36	-3.25	132.0
37	-3.25	123.0
38	-3.25	123.0
39	-3.25	122.0
40	-3.25	126.0
41	-3.25	128.0
42	-3.25	1376.0
43	-3.25	1317.0
44	-3.25	817.0
45	-3.25	530.0
46	-3.25	278.0
47	-3.25	233.0
48	-3.25	141.0
49	-3.25	133.0
50	-3.25	133.0
51	-3.25	129.0
52	-3.25	134.0
53	-3.25	278.0
54	-3.25	299.0
55	-3.25	315.0
56	-3.25	12.0
57	-3.25	15.0
58	-3.25	14.0
59	-3.25	14.0
60	-3.25	15.0
61	-3.25	14.0
62	-3.25	2.0
63	-3.25	1.0
64	-3.25	1.0
65	-3.25	2.0
66	-3.25	2.0
67	-3.25	3.0
68	-3.25	2.0
69	-3.25	1.0
70	-3.25	1.0
71	-3.25	1.0
72	-3.25	1.0
73	-3.25	1.0
74	-3.25	1.0
75	-3.25	1.0
76	-3.25	139.0
77	-3.25	139.0
78	-3.25	146.0
79	-3.25	156.0
80	-3.25	157.0
81	-3.25	157.0
82	-3.25	157.0
83	-3.25	157.0
84	-3.25	157.0
85	-3.25	157.0
86	-3.25	157.0
87	-3.25	157.0
88	-3.25	157.0
89	-3.25	157.0
90	-3.25	157.0
91	-3.25	157.0
92	-3.25	157.0
93	-3.25	157.0
94	-3.25	157.0
95	-3.25	157.0
96	-3.25	157.0
97	-3.25	157.0
98	-3.25	157.0
99	-3.25	157.0
